Date,Active Energy (kcal),Apple Exercise Time (min),Apple Sleeping Wrist Temperature (ºF),Apple Stand Hour (hours),Apple Stand Time (min),Blood Oxygen Saturation (%),Flights Climbed (count),Headphone Audio Exposure (dBASPL),Heart Rate [Min] (bpm),Heart Rate [Max] (bpm),Heart Rate [Avg] (bpm),Heart Rate Variability (ms),Respiratory Rate (count/min),Resting Energy (kcal),Resting Heart Rate (bpm),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),Step Count (steps),Walking Double Support Percentage (%),Walking Heart Rate Average (bpm),Walking Speed (mi/hr) ,Total Sleep
2024-10-31 00:00:00,515.81,34,,14,149,97.23,5,59.29,47,117,64.44,79.75,12.79,1889,52.5,5.125000000000000,1.0333333333333300,2.15,0.20000000000000000,8370,27.64,94,2.77,8.733
2024-11-01 00:00:00,524.85,29,97,13,134,96.85,10,63.36,52,108,64.41,58.06,12.81,1918,53.5,4.691666666666670,1.275,1.725,0.1,6436,28.27,77,2.43,7.983
2024-11-02 00:00:00,643.45,34,,14,183,96.89,10,65.7,49,143,66.97,51.74,12.27,1943,54.5,5.983333333333330,0.8833333333333330,1.9583333333333300,0.5916666666666670,10910,27.62,,2.81,8.9
2024-11-03 00:00:00,607.57,43,,15,190,97.36,8,60.59,52,160,70.92,61.12,13.41,1994,56.5,4.8500000000000000,1.3416666666666700,1.1083333333333300,0.6333333333333330,11674,27.43,83,2.74,7.533
2024-11-04 00:00:00,690.1,92,95.75,14,192,97.07,9,60.01,51,141,75.38,67.33,12.36,1910,54.5,4.850000000000000,1.0833333333333300,1.758333333333330,0.26666666666666700,9513,27.9,86,2.72,7.9
2024-11-05 00:00:00,625,37,,13,172,97.25,10,60.92,51,112,66.49,57.82,12.58,1913,58,1.9083333333333300,0.8416666666666670,0.9833333333333330,0.3083333333333330,9094,27.53,96.5,2.7,7.933
2024-11-06 00:00:00,506.4,17,96.79,17,123,97.05,2,62.54,52,117,65.02,58.6,12.33,1934,55.5,4.2250000000000000,0.8833333333333330,1.3583333333333300,0.7500000000000000,6848,28.13,86,2.39,5.866
2024-11-07 00:00:00,639.32,53,,16,209,97.3,9,58.18,51,133,67.61,66.34,12.15,1904,53,4.716666666666670,1.2166666666666700,1.3333333333333300,0.06666666666666670,8805,27.77,88.5,2.78,8.3
2024-11-08 00:00:00,526.48,26,97.04,17,132,97.49,2,62.65,50,104,64.29,65.41,12.61,1936,56,3.758333333333330,1.3416666666666700,1.6083333333333300,0.4583333333333330,7373,27.87,,2.75,7.3
2024-11-09 00:00:00,879.55,64,,15,175,97.37,6,50.71,51,179,79.21,51.91,12.58,1913,57.5,2.658333333333330,1.2000000000000000,0.95,0.36666666666666700,13723,27.87,97,2.79,7.533
2024-11-10 00:00:00,755.15,58,96.44,15,193,97.37,7,57.53,47,177,69.68,69.04,12.44,1911,52,5.191666666666670,0.9250000000000000,1.8916666666666700,0.2833333333333330,12595,27.85,109,2.82,8.266
2024-11-11 00:00:00,575.85,23,,16,180,96.62,4,63.61,46,101,65.07,60.9,12.87,1939,52.5,4.7250000000000000,0.7083333333333330,1.991666666666670,0.6333333333333330,8195,28.04,69,2.61,7.55
2024-11-12 00:00:00,453.53,44,,15,121,97.32,4,59.98,51,142,70.89,60.05,12.13,1871,55,4.075,1.5416666666666700,1.7333333333333300,0.40000000000000000,7504,27.64,85,2.71,11.766
2024-11-13 00:00:00,496.35,19,96.54,15,108,97.63,5,61.15,49,117,63.7,63.56,12.69,1927,53,4.016666666666670,0.925,0.8833333333333330,0.19166666666666700,6819,28.32,78,2.53,6.266
2024-11-14 00:00:00,587.1,64,,12,167,97.66,7,56.04,45,139,73.17,66.33,12.35,1949,49.5,5.666666666666670,0.9833333333333330,2.1416666666666700,0.42500000000000000,9802,28.61,103,2.68,9.7
2024-11-15 00:00:00,656.67,18,,15,162,96.92,2,51.26,49,109,65.01,58.68,12.61,2121,57,4.116666666666670,0.8416666666666670,1.275,0.6083333333333330,7574,28.54,87,2.74,7.116
2024-11-16 00:00:00,303.22,14,96.73,9,61,98.15,6.78,52,48,119,62.51,62.33,12.61,1927,52.5,3.5,1.2166666666666700,1.8416666666666700,0.41666666666666700,5314,28.53,76,2.7,6.733
2024-11-17 00:00:00,566.13,36,96.7,14,138,97.3,6,59.78,50,191,72.59,63.18,13,2003,54,5.283333333333330,1.1833333333333300,2.0750000000000000,0.2916666666666670,8546,28.16,87.5,2.89,8.8
2024-11-18 00:00:00,702.08,67,96.44,18,205,97.07,3,58.08,52,154,79.76,77.5,12.85,2112,61.5,3.425,0.9666666666666670,1.491666666666670,0.1,9254,28.46,93,2.64,6.266
2024-11-19 00:00:00,598.42,32,96.73,11,147,97.24,3,48.07,50,194,74.21,61.1,12.67,1988,54.5,4.283333333333330,0.5833333333333330,2.208333333333330,0.8250000000000000,7109,28.34,103,2.79,8.966
2024-11-20 00:00:00,522.84,19,96.49,17,136,97.44,2,55.39,48,107,64.56,71.01,13.06,2053,56.5,3.6583333333333300,0.6500000000000000,0.8916666666666670,0.4333333333333330,6003,28.46,94,2.72,6.216
2024-11-21 00:00:00,662.62,22,96.9,12,163,97.33,6,57,47,190,70.66,49.14,13.07,2036,54,5.508333333333330,0.7416666666666670,2.308333333333330,0.3416666666666670,10389,28.37,76,2.76,8.95
2024-11-22 00:00:00,1043,97,96.93,14,211,97.08,2,56.19,46,183,79.95,75.11,12.91,2076,55,5.366666666666670,0.7166666666666670,1.4750000000000000,0.24166666666666700,10794,29.08,100.5,2.49,7.975
2024-11-23 00:00:00,642.61,75,,10,116,96.62,3,60.67,51,153,78.08,76.14,12.45,1939,55,5.466666666666670,0.975,1.8083333333333300,0.5416666666666670,8819,28.85,96,2.54,9.433
2024-11-24 00:00:00,423.96,11,96.78,13,91,97.41,4,50.25,52,103,61.29,71.01,12.62,2022,55,4.4000000000000000,1.175,1.7833333333333300,0.35833333333333300,5843,29.13,76,2.42,7.6
2024-11-25 00:00:00,825.66,92,96.54,14,157,97.13,2,55.63,45,135,73.08,60.01,13.18,2054,53.5,4.366666666666670,1.1916666666666700,1.3166666666666700,0.2583333333333330,6274,28.78,82,2.49,7
